"","corporation","domestic government","foreign government","hacktivists / whistleblowers / vigilantes","journalist","named hacker / researcher","unnamed hacker / researcher","constructive","destructive","unclear","account credentials leak","celebrity data breach","corporate data breach","cyberwarfare","denial of service","financial data / resource breach","going dark problem / government surveillance","government data / resource breach","legislation","personal account / data breach","ransomware","security implementation bug","big-brother government","children","corporate security","election","financial institution","foreign affairs","gaming","government / national security","medical institution","opinion journalism","point-of-sale hack","race violence","sexual life","social media","terrorism"
"corporation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"domestic government",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650284146672176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"foreign government",0,0,1,0,0,0,0,0,0,0,0,0,0,0.548510181924913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592655027094997,0,0,0,0,0,0,0,0,0
"hacktivists / whistleblowers / vigilantes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"journalist",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812599200293392,0,0,0,0,0
"named hacker / researcher",0,0,0,0,0,1,-0.553026888653417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unnamed hacker / researcher",0,0,0,0,0,0,1,0,0.508206358717741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"constructive",0,0,0,0,0,0,0,1,-0.879514055342479,0,0,0,0,0,0,0,0,0,0,0,0,0.509426708108493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"destructive",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unclear",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account credentials leak",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"celebrity data breach",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"corporate data breach",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cyberwarfare",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610497720573233
"denial of service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
