"","EventName","counts","cluster"
"1","191 mil Voter Records Exposed",28,4
"2","500 million Yahoo Accounts",132,1
"3","55 mil Filipino Voter Info Leak",7,3
"4","93.4 mil Mexican's Info Exposed on Amazon",10,4
"5","Adele Photos Hack",1,3
"6","ADP W-2 Hack",1,2
"7","Adult Friend Finder Hack",40,4
"8","Amazon Cloud Key Leak",1,1
"9","Amazon Kindle Hack",1,1
"10","Anonymous Canadian Government Takedown",1,3
"11","Anonymous ISIS",1,3
"12","Anonymous KKK Leak",1,4
"13","Anthem HealthCare Hack",21,4
"14","Apple Developer Site Hack",1,1
"15","Apple iCloud / Celebrity Photos Hack",4,4
"16","Apple's Letter on Encryption to Customers",67,3
"17","Ashley Madison Hack",56,4
"18","Bowman Avenue Dam Hack",2,3
"19","Brazzers Hack",16,4
"20","CareFirst BSBS Personal Data Breach",2,4
"21","CENTCOM Social Media Hack",59,3
"22","Central Hudson Gas&Electric Bank Info Breach",1,2
"23","Chik-Fil-A Debit Card Breach",1,2
"24","China U.S. Security Tensions",3,3
"25","Citi Customer Account Hack",1,2
"26","Clinton Email Server",11,3
"27","DEA Driver Spying",16,4
"28","DNC Email Leak",19,3
"29","Dropbox Hack",39,1
"30","EA / Blizzard DDoS",3,3
"31","Eddie Bauer Credit Card Hack",2,2
"32","EU Airport Leak",1,3
"33","Facebook Contact Data Leak",1,1
"34","FancyBears Athlete Doping Leak",1,3
"35","FBI Employee Hack",35,3
"36","FDIC Hack",2,3
"37","France Blocking Free WiFi",25,3
"38","Generic Corporate Breaches",14,1
"39","German Parliament Hack",1,3
"40","GoGo Fake SSL Certs",17,1
"41","Heartbleed",12,1
"42","Hello Kitty Hack",2,1
"43","Home Depot Hack",21,2
"44","HSBC DDoS Attack",1,3
"45","Hyatt Hotels Data Breach",1,2
"46","Indiana Credit Card Skimmer",1,2
"47","IRS Identity Theft",17,3
"48","JC Penney Data Breach",1,2
"49","Jester Jihadist Attacker",1,3
"50","John Oliver Encryption Skit",17,3
"51","JPMorgan Hack",7,4
"52","Juniper Networks Backdoor",2,1
"53","Kentucky Hospital Ransomware",1,4
"54","Kmart Credit Card Hack",2,2
"55","Krebs Mirai IoT DDoS Attack",18,3
"56","Lastpass Hack",2,1
"57","Leaked Police Union Contracts",1,3
"58","LinkedIn Credentials Hack",1,1
"59","Linux Mint WordPress Hack",1,1
"60","LizardStresser Customer Data Leak",1,1
"61","MacKeeper Hack",1,1
"62","Medstar Ransomware",4,4
"63","NCT Credentials Breach",1,4
"64","Neiman Marcus Card Breach",1,2
"65","NexusMods Customer Data Leak",1,4
"66","NJ Hospital Ransomware",1,4
"67","Obama Security Announcement",47,3
"68","OPM Personal Data Breach",14,3
"69","Panama Papers Hack",13,1
"70","Patreon Credentials Hack",1,1
"71","Playstation / Xbox / Amazon Credit Cards & Passwords Breach",2,4
"72","PSN / Xbox Live outage",3,3
"73","PSN Personal Data Hack",2,2
"74","Ransomware in LA Hospital",31,4
"75","Russian FSB Hack",1,2
"76","Snapchat Photos Leak",1,1
"77","Snowden",4,3
"78","Sony Pictures Entertainment Hacked",210,1
"79","Spotify Hack",1,1
"80","Staples Credit Card Hack",1,2
"81","Steam Credit Card Hack",1,2
"82","Steam DDoS Caching",2,4
"83","Steam Password Reset Hack",1,3
"84","SWIFT Bank Malware",1,2
"85","Systema Patient Insurance Breach",1,4
"86","Target Hack",100,2
"87","Three Mobile Customer Fraud",1,4
"88","Time Warner Login Credential Hack",1,1
"89","TMobile / Experian Breach",6,1
"90","Trump Hotel Breach",1,2
"91","Tumblr Email Breach",1,1
"92","Tumblr Hack",1,4
"93","Twitter State Sponsored Hackers",1,3
"94","U.S./U.K Hack Own Bank",1,3
"95","UAE Bank Customer Transaction Leak",1,2
"96","Uber Driver Leak",1,3
"97","US Russia Security Meeting",1,3
"98","USPS Data Breach",3,3
"99","Verizon Hack",6,1
"100","Vtech Children's Toy Hack",5,4
"101","Walmart Credit Card Fraud",1,2
"102","Wells Fargo Hack",1,3
"103","Wendy's Credit Card Hack",6,2
"104","Yahoo Google Email Security Breach",26,1
